zip,city
27230,BOURNAINVILLE FAVEROLLES
27230,BOURNAINVILLE FAVEROLLES
27500,BOURNEVILLE STE CROIX
27580,BOURTH
27170,BRAY
27160,BRETEUIL
27570,BREUX SUR AVRE
27310,CAUMONT
27350,CAUVERVILLE EN ROUMOIS
27270,CHAMBLAC
27250,CHAMBORD
27930,LA CHAPELLE DU BOIS DES FAULX
27150,CHAUVINCOURT PROVEMONT
27930,CIERREY
27190,COLLANDRES QUINCARNON
27190,CONCHES EN OUCHE
27290,CONDE SUR RISLE
27430,CONNELLES
27220,COUDRES
27190,LA CROISILLE
27110,CROSVILLE LA VIEILLE
27240,MESNILS SUR ITON
27240,MESNILS SUR ITON
27240,MESNILS SUR ITON
27240,MESNILS SUR ITON
27430,DAUBEUF PRES VATTEVILLE
27510,VEXIN SUR EPTE
27510,VEXIN SUR EPTE
27630,VEXIN SUR EPTE
27000,EVREUX
27000,EVREUX
27120,FAINS
27210,FATOUVILLE GRESTAIN
27230,LE FAVRIL
27210,FIQUEFLEUR EQUAINVILLE
27380,FLEURY SUR ANDELLE
27210,FORT MOVILLE
27150,GAMACHES EN VEXIN
27220,LA BARONNIE
27440,VAL D ORGER
27370,LE BOSC DU THEIL
27120,HARDENCOURT COCHEREL
27350,HAUVILLE
27350,LA HAYE DE ROUTOT
27400,LA HAYE MALHERBE
27330,LA HAYE ST SYLVESTRE
27120,HECOURT
27630,HEUBECOURT HARICOURT
27910,LES HOGUES
27410,LA HOUSSAYE
27770,ILLIERS L EVEQUE
27930,IRREVILLE
27910,LETTEGUIVES
27440,LISORS
27800,LIVET SUR AUTHOU
27480,LORLEAU
27800,MALLEVILLE SUR LE BEC
27320,MARCILLY LA CAMPAGNE
27810,MARCILLY SUR EURE
27150,MARTAGNY
27300,MENNEVAL
27950,MERCEY
27320,MOISVILLE
27400,TERRES DE BORD
27260,MORAINVILLE JOUVEAUX
27220,MOUETTES
27560,NOARDS
27320,NONANCOURT
27800,NOTRE DAME D EPINE
27410,LE NOYER EN OUCHE
27190,LE VAL DORE
27590,PITRES
27300,PLASNES
27110,QUITTEBEUF
27380,RADEPONT
27910,RENNEVILLE
27700,LA ROQUETTE
27250,RUGLES
27220,ST ANDRE DE L EURE
27300,TREIS SANTS EN OUCHE
27680,ST AUBIN SUR QUILLEBEUF
27370,ST CYR LA CAMPAGNE
27390,ST DENIS D AUGERONS
27140,ST DENIS LE FERMENT
27430,ST ETIENNE DU VAUVRAY
27600,ST JULIEN DE LA LIEGUE
27950,ST MARCEL
27160,LE LESME
27160,LE LESME
27370,ST MESLIN DU BOSC
27670,ST OUEN DU TILLEUL
27390,ST PIERRE DE CERNIERES
27210,ST PIERRE DU VAL
27430,ST PIERRE DU VAUVRAY
27500,ST SYMPHORIEN
27230,ST VINCENT DU BOULAY
27930,SASSEY
27420,SUZAY
27230,LE THEIL NOLENT
27230,THIBERVILLE
27150,LE THIL
27170,TILLEUL DAME AGNES
27110,LE TILLEUL LAMBERT
27310,LA TRINITE DE THOUBERVILLE
27500,TRIQUEVILLE
27400,LA VACHERIE
27380,VANDRIMARE
27210,VANNECROCQ
27120,VAUX SUR EURE
27160,VERNEUIL D AVRE ET D ITON
27200,VERNON
27870,VESLY
27700,VEZILLON
27330,LA VIEILLE LYRE
27640,VILLIERS EN DESOEUVRE
28150,ALLONNES
28290,COMMUNE NOUVELLE D ARROU
28700,AUNEAU BLEURY ST SYMPHORIEN
28320,BAILLEAU ARMENONVILLE
28330,LA BAZOCHE GOUET
28300,BERCHERES ST GERMAIN
28630,BERCHERES LES PIERRES
28260,BERCHERES SUR VESGRE
28190,BILLANCELLES
28500,BOISSY EN DROUAIS
28150,BOISVILLE LA ST PERE
28360,LA BOURDINIERE ST LOUP
28260,BONCOURT
28800,BONNEVAL
28410,BROUE
28330,CHAPELLE GUILLAUME
28480,CHASSANT
28170,CHATEAUNEUF EN THYMERAIS
25310,VILLARS LES BLAMONT
28220,CLOYES LES TROIS RIVIERES
25240,LES VILLEDIEU
28220,CLOYES LES TROIS RIVIERES
25170,VILLERS BUZON
28630,CORANCEZ
25510,VILLERS LA COMBE
28210,COULOMBS
25270,VILLERS SOUS CHALAMONT
28270,CRUCEY VILLAGES
25420,VOUJEAUCOURT
28190,DANGERS
26780,ALLAN
28320,ECROSNES
26470,ARNAYON
28120,EPEAUTROLLES
26570,AULAN
28120,ERMENONVILLE LA GRANDE
26310,BARNAVE
28240,FONTAINE SIMON
26310,LA BATIE DES FONDS
28630,FONTENAY SUR EURE
26790,BOUCHET
28160,FRAZE
26410,BOULC
28320,GALLARDON
26410,BOULC
28500,GARANCIERES EN DROUAIS
26500,BOURG LES VALENCE
28310,GOUILLONS
26400,CHABRILLAN
28410,GOUSSAINVILLE
26190,LE CHAFFAL
28310,INTREVILLE
26150,CHAMALOC
28310,JANVILLE EN BEAUCE
26230,CHAMARET
28600,LUISANT
26600,CHANOS CURSON
28120,MAGNY
26470,LA CHARCE
28170,MAILLEBOIS
26300,CHARPEY
28700,MAISONS
26340,CHASTEL ARNAUD
28120,MEREGLISE
26780,CHATEAUNEUF DU RHONE
28200,MOLEANS
26410,CHATILLON EN DIOIS
28800,MONTBOISSIER
26110,CHAUDEBONNE
28210,NERON
26260,CHAVANNES
28130,PIERRES
26240,CLAVEYSON
28800,PRE ST EVROULT
26260,CLERIEUX
28170,PUISEUX
26220,COMPS
28310,ROUVRAY ST DENIS
26600,CROZES HERMITAGE
28260,ROUVRES
26220,DIEULEFIT
28200,VILLEMAURY
26190,ECHEVIS
28480,SAINTIGNY
26800,ETOILE SUR RHONE
28200,ST DENIS LANNERAY
26800,ETOILE SUR RHONE
28200,ST DENIS LANNERAY
26560,EYGALAYES
28300,ST PREST
26170,EYGALIERS
28170,ST SAUVEUR MARVILLE
26730,EYMEUX
28700,SAINVILLE
26730,EYMEUX
28210,SENANTES
26160,FELINES SUR RIMANDOULE
28150,THEUVILLE
26730,HOSTUN
28310,TOURY
26210,LENS LESTANG
28170,TREMBLAY LES VILLAGES
26250,LIVRON SUR DROME
28170,TREMBLAY LES VILLAGES
26270,LORIOL SUR DROME
28160,UNVERRE
26310,LUC EN DIOIS
28140,EOLE EN BEAUCE
26120,MALISSARD
28200,VILLAMPUY
26260,MARGES
28190,VILLEBON
26510,MONTFERRAND LA FARE
28150,YMONVILLE
26560,MONTFROC
29300,BAYE
26220,MONTJOUX
29400,BODILIS
26150,MONTMAUR EN DIOIS
29690,BRENNILIS
26800,MONTOISON
29570,CAMARET SUR MER
26510,MONTREAL LES SOURCES
29520,CHATEAUNEUF DU FAOU
26130,MONTSEGUR SUR LAUZON
29270,CLEDEN POHER
26210,MORAS EN VALLOIRE
29410,LE CLOITRE ST THEGONNEC
26460,MORNANS
29217,LE CONQUET
26470,LA MOTTE CHALANCON
29370,CORAY
26240,ST JEAN DE GALAURE
29510,EDERN
26540,MOURS ST EUSEBE
29170,FOUESNANT
26120,OURCHES
29610,GARLAN
26170,PIERRELONGUE
29950,GOUESNACH
26110,LES PILLES
29850,GOUESNOU
26450,PUY ST MARTIN
29890,GOULVEN
26230,REAUVILLE
29410,GUICLAN
26310,RECOUBEAU JANSAC
29400,GUIMILIAU
26160,ROCHEBAUDIN
29290,MILIZAC GUIPRONVEL
26770,ROCHE ST SECRET BECONNE
29460,HOPITAL CAMFROUT
26100,ROMANS SUR ISERE
29690,HUELGOAT
26470,ROTTIER
29259,ILE MOLENE
26510,ROUSSIEUX
29270,KERGLOFF
26170,ST AUBAN SUR L OUVEZE
29260,KERNILIS
26330,ST AVIT
29510,LANGOLEN
26240,ST BARTHELEMY DE VALS
29840,LANILDUT
26150,STE CROIX
29400,LANNEUFFRET
26420,ST JULIEN EN VERCORS
29870,LANNILIS
26740,ST MARCEL LES SAUZET
29290,LANRIVOARE
26770,ST PANTALEON LES VIGNES
29260,LOC BREVALAIRE
26110,ST SAUVEUR GOUVERNET
29400,LOC EGUINER
26740,SAUZET
29180,LOCRONAN
26160,SOUSPIERRE
29790,CONFORT MEILARS
26770,TAULIGNAN
01640,L ABERGEMENT DE VAREY
29170,PLEUVEN
26220,TEYSSIERES
01330,AMBERIEUX EN DOMBES
29710,PLOGASTEL ST GERMAIN
26740,LES TOURRETTES
01300,AMBLEON
29180,PLOGONNEC
26120,UPIE
01500,AMBUTRIX
29550,PLOMODIERN
26000,VALENCE
01300,ANDERT ET CONDON
29830,PLOUDALMEZEAU
26420,VASSIEUX EN VERCORS
01110,ARANC
29630,PLOUGASNOU
26510,VERCLAUSE
01300,ARBOYS EN BUGEY
29830,PLOUGUIN
26340,VERONNE
01190,ARBIGNY
29430,PLOUNEVEZ LOCHRIST
26470,VOLVENT
01510,ARMIX
29600,PLOURIN LES MORLAIX
26300,JAILLANS
01340,ATTIGNAT
29710,PLOZEVET
27120,AIGLEVILLE
01380,BAGE LE CHATEL
29930,PONT AVEN
27600,AILLY
01200,VALSERHONE
29150,PORT LAUNAY
27380,AMFREVILLE LES CHAMPS
01260,VALROMEY SUR SERAN
29100,POULLAN SUR MER
27930,ANGERVILLE LA CAMPAGNE
01470,BENONCES
29480,LE RELECQ KERHUON
27290,APPEVILLE ANNEBAULT
01500,BETTANT
29680,ROSCOFF
27260,ASNIERES
01200,BILLIAT
29140,ROSPORDEN
27940,LE VAL D HAZEY
01150,BLYES
29140,ROSPORDEN
27290,AUTHOU
01380,BOISSEY
29440,ST DERRIEN
27440,BACQUEVILLE
01360,BRESSOLLES
29800,ST DIVY
27170,BARC
01310,BUELLAS
29460,ST ELOY
27310,BARNEVILLE SUR SEINE
01510,LA BURBANCHE
29520,ST GOAZEC
27170,BARQUET
01430,CEIGNES
29250,ST POL DE LEON
27330,MESNIL EN OUCHE
01320,CHALAMONT
29400,ST SERVAIS
27370,LE BEC THOMAS
01110,CHAMPDOR CORCELLES
29450,SIZUN
27300,BERNAY
01110,CHAMPDOR CORCELLES
29540,SPEZET
27520,LES MONTS DU ROUMOIS
01250,NIVIGNE ET SURAN
29217,TREBABU
27800,BOISNEY
01300,CHAZEY BONS
29730,TREFFIAGAT
27310,FLANCOURT CRESCY EN ROUMOIS
01150,CHAZEY SUR AIN
29430,TREFLEZ
27310,FLANCOURT CRESCY EN ROUMOIS
01430,CHEVILLARD
29120,TREMEOC
27670,BOSROUMOIS
01190,CHEVROUX
29440,TREZILIDE
27210,BOULLEVILLE
01550,COLLONGES
29590,PONT DE BUIS LES QUIMERCH
27500,BOUQUELON
01230,CONAND
29590,PONT DE BUIS LES QUIMERCH
27220,BRETAGNOLLES
01290,CROTTET
20167,APPIETTO
27160,BRETEUIL
01310,CURTAFOND
20110,ARBELLARA
27270,BROGLIE
01120,DAGNEUX
20190,AZILONE AMPAZA
27930,BROSVILLE
01500,DOUVRES
20119,BASTELICA
27730,BUEIL
01130,ECHALLON
20133,CARBUCCIA
27190,BUREY
01800,FARAMANS
20134,CIAMANNACCE
27490,CAILLY SUR EURE
01350,FLAXIEU
20166,COGNOCOLI MONTICCHI
27500,CAMPIGNY
01090,GENOUILLEUX
20143,FOZZANO
27120,CHAIGNES
01250,HAUTECOURT ROMANECHE
20157,FRASSETO
27270,CHAMBLAC
01260,HAUT VALROMEY
20100,GROSSA
27600,CHAMPENARD
01260,HAUT VALROMEY
20137,LECCI
27220,CHAMPIGNY LA FUTELAYE
01450,LABALME
20140,OLIVESE
27230,LA CHAPELLE HARENG
01350,LAVOURS
20115,PIANA
27250,CHERONVILLIERS
01150,LEYMENT
20160,POGGIOLO
27160,MARBOIS
01420,SURJOUX LHOPITAL
20122,QUENZA
27240,MARBOIS
01300,MAGNIEU
20160,RENNO
27500,COLLETOT
01560,MANTENAY MONTLIN
20151,SANT ANDREA D ORCINO
27150,COUDRAY
01851,MARBOZ
20137,SAN GAVINO DI CARBINI
27320,COURDEMANCHE
01410,MIJOUX
20170,SAN GAVINO DI CARBINI
27110,CRESTOT
01700,MIRIBEL
20190,SANTA MARIA SICHE
27120,CROISY SUR EURE
01800,LE MONTELLIER
20117,TOLLA
27240,MESNILS SUR ITON
01120,MONTLUEL
20133,UCCIANI
27240,MESNILS SUR ITON
01090,MONTMERLE SUR SAONE
20172,VERO
27240,MESNILS SUR ITON
01460,MONTREAL LA CLUSE
20160,VICO
27240,MESNILS SUR ITON
01300,MURS ET GELIGNIEUX
20173,ZEVACO
27240,MESNILS SUR ITON
01210,ORNEX
20251,ALTIANI
27240,MESNILS SUR ITON
01100,OYONNAX
20272,AMPRIANI
27110,DAUBEUF LA CAMPAGNE
01100,OYONNAX
20290,BORGO
27320,DROISY
01800,PEROUGES
20228,CAGNANO
27170,ECARDENVILLE LA CAMPAGNE
01430,PEYRIAT
20224,CALACUCCIA
27510,VEXIN SUR EPTE
01350,POLLIEU
20260,CALVI
27630,VEXIN SUR EPTE
01160,PONT D AIN
20235,CANAVAGGIA
27150,ETREPAGNY
01460,PORT
20212,CASTELLARE DI MERCURIO
27530,EZY SUR EURE
01110,PREMILLIEU
20235,CASTELLO DI ROSTINO
27930,FAUVILLE
01280,PREVESSIN MOENS
20218,CASTIFAO
27110,FEUGUEROLLES
01190,REYSSOUZE
20238,CENTURI
27600,FONTAINE BELLENGER
01450,ST ALBAN
20221,CERVIONE
27220,FRESNEY
01290,ST ANDRE D HUIRIAT
20220,CORBARA
27620,GASNY
01300,GROSLEE ST BENOIT
20256,CORBARA
27290,GLOS SUR RISLE
01370,ST ETIENNE DU BOIS
20226,COSTA
27390,LA GOULAFRIERE
01190,ST ETIENNE SUR REYSSOUZE
20275,ERSA
27930,GRAVIGNY
01600,STE EUPHEMIE
20253,FARINOLE
27220,GROSSOEUVRE
01380,ST GENIS SUR MENTHON
20240,GHISONACCIA
27370,LE BOSC DU THEIL
01240,ST GERMAIN SUR RENON
20240,GHISONACCIA
27150,HEBECOURT
01390,ST JEAN DE THURIGNEUX
20227,GHISONI
27110,HECTOMARE
01290,ST JEAN SUR VEYLE
20251,GIUNCAGGIO
27630,HEUBECOURT HARICOURT
01330,STE OLIVE
20243,ISOLACCIO DI FIUMORBO
27600,HEUDEBOUVILLE
01150,ST SORLIN EN BUGEY
20218,LAMA
27400,HEUDREVILLE SUR EURE
01470,SEILLONNAZ
20290,LUCCIANA
27290,ILLEVILLE SUR MONTFORT
01420,SEYSSEL
20229,MONACIA D OREZZA
27250,JUIGNETTES
01510,TALISSIEU
20290,MONTE
27210,LA LANDE ST LEGER
01170,VESANCY
20214,MONTEGROSSO
27470,LAUNAY
01570,VESINES
20229,NOCARIO
27650,LOUYE
01150,VILLEBOIS
20217,NONZA
27480,LYONS LA FORET
01800,VILLIEU LOYES MOLLON
20217,OGLIASTRO
27460,LE MANOIR
01510,VIRIEU LE GRAND
20259,OLMI CAPPELLA
27390,MELICOURT
01300,VIRIGNIN
20234,ORTALE
27850,MENESQUEVILLE
02300,ABBECOURT
20290,ORTIPORIO
27120,MENILLES
02800,ACHERY
20226,PALASCA
27640,MEREY
02800,ANDELAIN
20213,PENTA DI CASINCA
27930,MISEREY
02500,ANY MARTIN RIEUX
20229,PIAZZOLE
27390,MONTREUIL L ARGILLE
02480,ARTEMPS
20229,PIE D OREZZA
27260,MORAINVILLE JOUVEAUX
02490,ATTILLY
20218,PIETRALBA
27150,MORGNY
02590,AUBIGNY AUX KAISNES
20234,PIETRICAGGIO
27550,NASSANDRES SUR RISLE
02290,BAGNEUX
20242,PIETROSO
27250,NEAUFLES AUVERGNY
02270,BARENTON SUR SERRE
20220,PIGNA
27110,LE NEUBOURG
02220,BAZOCHES ET ST THIBAUT
20234,PIOBETTA
27930,NORMANVILLE
02590,BEAUVOIS EN VERMANDOIS
20215,PORRI
27720,NOYERS
02420,BELLENGLISE
20290,PRUNELLI DI CASACCONI
27190,ORMES
02440,BENAY
20248,ROGLIANO
27190,LE VAL DORE
02190,BERRY AU BAC
20242,ROSPIGLIANI
27400,PINTERVILLE
02800,BERTAUCOURT EPOURDON
20218,SALICETO
27500,PONT AUDEMER
02300,BESME
20213,SCATA
27290,PONT AUTHOU
02210,BEUGNEUX
20213,SORBO OCAGNANO
27420,RICHEVILLE
02300,BICHANCOURT
20217,ST FLORENT
27170,ROMILLY LA PUTHENAYE
02290,BIEUXY
20246,SAN GAVINO DI TENDA
27790,ROSAY SUR LIEURE
02270,BOIS LES PARGNY
20230,SAN GIULIANO
27450,ST BENOIT DES OMBRES
02860,BOUCONVILLE VAUCLAIR
20200,SAN MARTINO DI LOTA
27820,ST CHRISTOPHE SUR AVRE
02400,BOURESCHES
20246,SANTO PIETRO DI TENDA
27100,LE VAUDREUIL
02240,BRISSY HAMEGICOURT
20230,SANTA REPARATA DI MORIANI
27520,ST DENIS DES MONTS
02810,BRUMETZ
20230,TAGLIO ISOLACCIO
27370,ST DIDIER DES BOIS
02360,BRUNEHAMEL
20219,VIVARIO
27920,ST ETIENNE SOUS BAILLEUL
02880,BUCY LE LONG
20219,VIVARIO
27620,STE GENEVIEVE LES GASNY
02300,CAILLOUEL CREPIGNY
20272,ZALANA
27560,LE MESNIL ST JEAN
02300,CAMELIN
20272,ZUANI
27370,ST GERMAIN DE PASQUIER
02860,CERNY EN LAONNOIS
30670,AIGUES VIVES
27950,LA CHAPELLE LONGUEVILLE
02000,CHAMBRY
30140,ANDUZE
27220,ST LAURENT DES BOIS
02340,CHAOURSE
30120,ARRE
27930,ST MARTIN LA CAMPAGNE
02800,CHARMES
30250,AUBAIS
27450,ST MARTIN ST FIRMIN
02200,CHAUDUN
30430,BARJAC
27160,STE MARIE D ATTEZ
02300,CHAUNY
30330,LA BASTIDE D ENGRAS
27800,ST PAUL DE FOURQUES
02810,CHEZY EN ORXOIS
30640,BEAUVOISIN
27920,ST PIERRE DE BAILLEUL
02000,CHIVY LES ETOUVELLES
30120,BEZ ET ESPARON
27800,ST PIERRE DE SALERNE
02220,CIRY SALSOGNE
30450,BONNEVAUX
27600,ST PIERRE LA GARENNE
02440,CLASTRES
30190,BOUCOIRAN ET NOZIERES
27560,ST SIMEON
02120,COLONFAY
30580,LA BRUGUIERE
27260,ST SYLVESTRE DE CORMEILLES
02300,COMMENCHON
30190,LA CALMETTE
27930,ST VIGOR
02190,CONDE SUR SUIPPE
30420,CALVISSON
27400,SURTAUVILLE
02820,CORBENY
30350,CASSAGNOLES
27400,SURVILLE
02810,COURCHAMPS
30210,CASTILLON DU GARD
27800,THIBOUVILLE
02850,COURTEMONT VARENNES
30200,CODOLET
27510,TILLY
02130,CRAMAILLE
30460,COLOGNAC
27210,LE TORPT
02870,CREPY
30300,COMPS
27180,TOURNEDOS BOIS HUBERT
02210,LA CROIX SUR OURCQ
30140,CORBES
27110,LE TREMBLAY OMONVILLE
02310,CROUTTES SUR MARNE
30260,CRESPIAN
27110,LE TRONCQ
02880,CROUY
30190,DIONS
27480,LE TRONQUAY
02680,DALLON
30390,DOMAZAN
27300,VALAILLES
02270,DERCY
30350,DOMESSARGUES
27110,VENON
02360,DOHIS
30170,DURFORT ET ST MARTIN DE SOSSENAC
27180,LES VENTES
02130,DRAVEGNY
30360,EUZET
27110,VILLEZ SUR LE NEUBOURG
02210,DROIZY
30700,FLAUX
27400,VIRONVAY
02480,DURY
30700,FOISSAC
28700,AUNAY SOUS AUNEAU
02400,EPAUX BEZU
30580,FONS SUR LUSSAN
28700,AUNEAU BLEURY ST SYMPHORIEN
02840,EPPES
30128,GARONS
28300,BAILLEAU L EVEQUE
02100,ESSIGNY LE PETIT
30980,LANGLADE
28310,BARMAINVILLE
02400,ETAMPES SUR MARNE
30210,LEDENON
28480,BEAUMONT LES AUTELS
02580,ETREAUPONT
30140,MASSILLARGUES ATTUECH
28300,BERCHERES ST GERMAIN
02600,FAVEROLLES
30430,MEJANNES LE CLAP
28340,BOISSY LES PERCHE
02130,FERE EN TARDENOIS
30630,MONTCLUS
28210,LE BOULLAY MIVOYE
02520,FLAVY LE MARTEL
30190,MONTIGNARGUES
28410,BOUTIGNY PROUAIS
02670,FOLEMBRAY
30000,NIMES
28800,BOUVILLE
02110,FONTAINE NOTRE DAME
30260,ORTHOUX SERIGNAC QUILHAN
28300,BRICONVILLE
02820,GOUDELANCOURT LES BERRIEUX
30330,LE PIN
28410,BU
02130,GOUSSANCOURT
30750,REVENS
28240,CHAMPROND EN GATINE
02420,GOUY
30160,ROBIAC ROCHESSADOULE
28200,LA CHAPELLE DU NOYER
02100,HARLY
30120,ROGUES
28500,LA CHAPELLE FORAINVILLIERS
02120,LE HERIE LA VIEVILLE
30200,SABRAN
28330,CHARBONNIERES
02720,HOMBLIERES
30630,ST ANDRE DE ROQUEPERTUIS
28000,CHARTRES
02420,JONCOURT
30350,ST BENEZET
28270,CHATAINCOURT
02000,LAON
30440,ST BRESSON
28120,CHAUFFOURS
02210,LATILLY
30110,STE CECILE D ANDORGE
28500,CHERISY
02600,LAVERSINE
30200,ST ETIENNE DES SORTS
28300,CINTRAY
02420,LEMPIRE
30360,ST HIPPOLYTE DE CATON
28220,CLOYES LES TROIS RIVIERES
02120,LESQUIELLES ST GERMAIN
30330,ST LAURENT LA VERNEDE
28220,CLOYES LES TROIS RIVIERES
02810,LICY CLIGNON
30730,ST MAMERT DU GARD
28220,CLOYES LES TROIS RIVIERES
02500,LOGNY LES AUBENTON
30520,ST MARTIN DE VALGALGUES
28210,CROISILLES
02160,LES SEPTVALLONS
30130,ST PAULET DE CAISSON
28160,DANGEAU
02160,LES SEPTVALLONS
30140,ST SEBASTIEN D AIGREFEUILLE
28230,DROUE SUR DROUETTE
02160,LES SEPTVALLONS
30290,ST VICTOR LA COSTE
28170,FAVIERES
02350,MARCHAIS
30760,SALAZAC
28800,LE GAULT ST DENIS
02540,DHUYS ET MORIN EN BRIE
30440,SUMENE
28310,GOMMERVILLE
02250,MARCY SOUS MARLE
30140,TORNAC
28700,GOMMERVILLE
02140,MARFONTAINE
30700,VALLABRIX
28410,GOUSSAINVILLE
02880,MARGIVAL
30570,VAL D AIGOUAL
28260,GUAINVILLE
02200,MERCIN ET VAUX
30600,VAUVERT
28310,GUILLEVILLE
02270,MESBRECOURT RICHECOURT
30330,ST PAUL LES FONTS
28410,HAVELU
02720,MESNIL ST LAURENT
31230,ANAN
28200,JALLANS
02160,MEURIVAL
31510,ANTICHAN DE FRONTIGNES
28250,JAUDRAIS
02200,MISSY AUX BOIS
31110,ANTIGNAC
28300,JOUY
02880,MISSY SUR AISNE
31160,ASPET
28210,LORMAYE
02000,MONAMPTEUIL
31140,AUCAMVILLE
28240,LA LOUPE
02860,MONTCHALONS
31260,AUSSEING
28500,LOUVILLIERS EN DROUAIS
02860,MONTHENAULT
31210,AUSSON
28250,LOUVILLIERS LES PERCHE
02810,MONTIGNY L ALLIER
31380,AZAS
28110,LUCE
02290,MONTIGNY LENGRAIN
31110,BAGNERES DE LUCHON
28360,LUPLANTE
02220,MONT NOTRE DAME
31440,BAREN
28240,MANOU
02360,MONT ST JEAN
31700,BEAUZELLE
28400,ARCISSES
02210,MURET ET CROUTTES
31530,BELLEGARDE STE MARIE
28250,LE MESNIL THOMAS
02400,NESLES LA MONTAGNE
31390,BOIS DE LA PIERRE
28130,MEVOISINS
02190,NEUFCHATEL SUR AISNE
31230,BOISSEDE
28120,MONTIGNY LE CHARTIF
02170,LE NOUVION EN THIERACHE
31440,BOUTX
28700,MORAINVILLE
02300,OGNES
50410,LA HAYE BELLEFOND
31480,BRIGNEMONT
28630,MORANCEZ
02190,ORAINVILLE
50170,HUISNES SUR MER
31150,BRUGUIERES
28160,MOULHARD
02290,OSLY COURTIL
50540,ISIGNY LE BUAT
31440,BURGALAYS
28150,MOUTIERS
02860,PANCY COURTECON
50540,ISIGNY LE BUAT
31560,CAIGNAC
28800,NEUVY EN DUNOIS
02260,PAPLEUX
50220,JUILLEY
31470,CAMBERNARD
28630,NOGENT LE PHAYE
02210,PARCY ET TIGNY
50520,JUVIGNY LES VALLEES
31460,CARAGOUDES
28120,NOGENT SUR EURE
02840,PARFONDRU
50160,LAMBERVILLE
31310,CASTAGNAC
28310,OINVILLE ST LIPHARD
02330,PARGNY LA DHUYS
50480,LIESVILLE SUR DOUVE
31260,CASTAGNEDE
28150,RECLAINVILLE
02270,PARGNY LES BOIS
50700,LIEUSAINT
31180,CASTELMAUROU
28340,ROHAIRE
02240,PARPEVILLE
50290,LONGUEVILLE
31110,CASTILLON DE LARBOUST
28700,ROINVILLE
02200,PLOISY
50320,LA LUCERNE D OUTREMER
31110,CATHERVIELLE
28300,ST AUBIN DES BOIS
02490,PONTRU
50410,MARGUERAY
31440,CHAUM
28330,ST BOMER
02190,PROUVAIS
50570,MARIGNY LE LOZON
31550,CINTEGABELLE
28200,VILLEMAURY
02300,QUIERZY
50570,MARIGNY LE LOZON
31110,CIRES
28200,VILLEMAURY
02380,QUINCY BASSE
50570,LE MESNIL AMEY
31210,CUGURON
28480,SAINTIGNY
